label,keywords,label_description
Agricultural Equipment Services,"agri, agricultural, agricultural equipment services, agriculturals, equipment, equipments, farm, farming, heavy equipment, machinery, tools","Agricultural Equipment Services agri, agricultural, agricultural equipment services, agriculturals, equipment, equipments, farm, farming, heavy equipment, machinery, tools"
Soil Nutrient Application Services,"dirt, fertilizer, ground, nutrient, nutrients, plant nutrition, soil, soil nutrient application services, soil nutrients, soils, spraying, spreading, treatment","Soil Nutrient Application Services dirt, fertilizer, ground, nutrient, nutrients, plant nutrition, soil, soil nutrient application services, soil nutrients, soils, spraying, spreading, treatment"
Pesticide Application Services,"crop spray, fungicide, herbicide, insecticide, pest control, pesticide, pesticide application services, pesticides, spraying, spreading, treatment","Pesticide Application Services crop spray, fungicide, herbicide, insecticide, pest control, pesticide, pesticide application services, pesticides, spraying, spreading, treatment"
Ornamental Plant Nurseries,"decorative plants, garden center, greenhouse, landscape plants, nurserie, nurseries, ornamental, ornamental plant nurseries, ornamentals, plant, plant nursery, plants","Ornamental Plant Nurseries decorative plants, garden center, greenhouse, landscape plants, nurserie, nurseries, ornamental, ornamental plant nurseries, ornamentals, plant, plant nursery, plants"
Landscaping Services,"garden maintenance, groundskeeping, landscape design, landscaping, landscaping services, landscapings, lawn care, yard work","Landscaping Services garden maintenance, groundskeeping, landscape design, landscaping, landscaping services, landscapings, lawn care, yard work"
Gardening Services,"garden care, garden maintenance, gardening, gardening services, gardenings, horticulture, planting, weeding","Gardening Services garden care, garden maintenance, gardening, gardening services, gardenings, horticulture, planting, weeding"
Tree Services - Pruning / Removal,"arborist, cutting, demolition, pruning, prunings, removal, removals, stump removal, takeaway, tree, tree care, tree removal, tree services - pruning / removal, tree trimming, trees, trimming","Tree Services - Pruning / Removal arborist, cutting, demolition, pruning, prunings, removal, removals, stump removal, takeaway, tree, tree care, tree removal, tree services - pruning / removal, tree trimming, trees, trimming"
Veterinary Services,"animal clinic, animal hospital, pet clinic, pet healthcare, vet, veterinary, veterinary services, veterinarys","Veterinary Services animal clinic, animal hospital, pet clinic, pet healthcare, vet, veterinary, veterinary services, veterinarys"
Veterinary Clinics,"animal clinic, animal hospital, clinic, clinics, diagnostics, health clinic, medical clinic, pet clinic, pet healthcare, practice, surgery, vaccinations, vet, vet clinic, veterinary, veterinary clinics, veterinarys","Veterinary Clinics animal clinic, animal hospital, clinic, clinics, diagnostics, health clinic, medical clinic, pet clinic, pet healthcare, practice, surgery, vaccinations, vet, vet clinic, veterinary, veterinary clinics, veterinarys"
Pet Boarding Services,"boarding, boardings, companion animal, day boarding, kennel, overnight boarding, pet, pet boarding, pet boarding services, pet care, pets","Pet Boarding Services boarding, boardings, companion animal, day boarding, kennel, overnight boarding, pet, pet boarding, pet boarding services, pet care, pets"
Animal Day Care Services,"animal, animal day care services, animals, care, cares, daily, day, day care, days, daytime, dog daycare, livestock, pet, pet daycare, pet sitting, support","Animal Day Care Services animal, animal day care services, animals, care, cares, daily, day, day care, days, daytime, dog daycare, livestock, pet, pet daycare, pet sitting, support"
Pet Grooming Services,"bath, cat grooming, companion animal, dog grooming, grooming, groomings, haircut, nail trim, pet, pet care, pet grooming, pet grooming services, pets, trimming, washing","Pet Grooming Services bath, cat grooming, companion animal, dog grooming, grooming, groomings, haircut, nail trim, pet, pet care, pet grooming, pet grooming services, pets, trimming, washing"
Animal Training Services,"animal, animal training services, animals, behavior training, coaching, livestock, obedience, pet, trainer, training, trainings","Animal Training Services animal, animal training services, animals, behavior training, coaching, livestock, obedience, pet, trainer, training, trainings"
Veterinary Health Centers,"animal clinic, animal hospital, emergency vet, health, healthcare, healths, medical, pet clinic, pet healthcare, vet, vet clinic, veterinary, veterinary health centers, veterinarys","Veterinary Health Centers animal clinic, animal hospital, emergency vet, health, healthcare, healths, medical, pet clinic, pet healthcare, vet, vet clinic, veterinary, veterinary health centers, veterinarys"
Animal Trainers,"animal, animal trainers, animals, behavior training, coaching, livestock, obedience, pet, trainer, trainers","Animal Trainers animal, animal trainers, animals, behavior training, coaching, livestock, obedience, pet, trainer, trainers"
Livestock Dealer Services,"cattle, dealer, dealers, farm animals, livestock, livestock dealer services, livestock trading, livestocks, ranch, reseller, supplier, vendor","Livestock Dealer Services cattle, dealer, dealers, farm animals, livestock, livestock dealer services, livestock trading, livestocks, ranch, reseller, supplier, vendor"
Timber Harvesting Operations,"extraction, felling, harvesting, harvestings, logging, lumber, timber, timber harvesting operations, timbers, wood","Timber Harvesting Operations extraction, felling, harvesting, harvestings, logging, lumber, timber, timber harvesting operations, timbers, wood"
Fishing and Hunting Services,"angling, charter fishing, fishery, fishing, fishing and hunting services, fishings, game hunting, hunting, hunting guide, huntings, outfitter","Fishing and Hunting Services angling, charter fishing, fishery, fishing, fishing and hunting services, fishings, game hunting, hunting, hunting guide, huntings, outfitter"
Well Maintenance Services,"borehole, maintenance, maintenances, repair, servicing, upkeep, water well, well, well maintenance services, well service, wells","Well Maintenance Services borehole, maintenance, maintenances, repair, servicing, upkeep, water well, well, well maintenance services, well service, wells"
Field Welding Services,"fabrication, field, field repair, field welding services, fields, metal welding, welder, welding, weldings","Field Welding Services fabrication, field, field repair, field welding services, fields, metal welding, welder, welding, weldings"
Sand and Gravel Mining,"aggregate, extraction, gravel, gravel pit, gravels, mining, minings, pit mining, quarry, sand, sand and gravel mining, sand pit, sand quarry, sands","Sand and Gravel Mining aggregate, extraction, gravel, gravel pit, gravels, mining, minings, pit mining, quarry, sand, sand and gravel mining, sand pit, sand quarry, sands"
Residential Driveway Construction,"asphalt driveway, asphalt paving, build, builder, concrete driveway, concrete work, construction, constructions, contractor, driveway, driveway paving, driveways, install, paving, paving contractor, residential driveway construction","Residential Driveway Construction asphalt driveway, asphalt paving, build, builder, concrete driveway, concrete work, construction, constructions, contractor, driveway, driveway paving, driveways, install, paving, paving contractor, residential driveway construction"
Commercial Driveway Construction,"asphalt driveway, asphalt paving, build, builder, commercial driveway construction, concrete driveway, concrete work, construction, constructions, contractor, driveway, driveway paving, driveways, install, paving, paving contractor","Commercial Driveway Construction asphalt driveway, asphalt paving, build, builder, commercial driveway construction, concrete driveway, concrete work, construction, constructions, contractor, driveway, driveway paving, driveways, install, paving, paving contractor"
Fencing Construction Services,"build, builder, construction, constructions, contractor, fence installation, fencing, fencing construction services, fencings, gate, install, perimeter fence","Fencing Construction Services build, builder, construction, constructions, contractor, fence installation, fencing, fencing construction services, fencings, gate, install, perimeter fence"
Sidewalk Construction Services,"build, builder, construction, constructions, contractor, footpath, install, pavement, sidewalk, sidewalk construction services, sidewalks, walkway","Sidewalk Construction Services build, builder, construction, constructions, contractor, footpath, install, pavement, sidewalk, sidewalk construction services, sidewalks, walkway"
Commercial Irrigation Systems,"commercial irrigation systems, drip irrigation, irrigation, irrigations, sprinkler, sprinkler system, watering system","Commercial Irrigation Systems commercial irrigation systems, drip irrigation, irrigation, irrigations, sprinkler, sprinkler system, watering system"
