description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Alkov Design is a design and art direction company that specializes in web design, motion graphics, 3D modeling, branding, art direction, illustration, and Ui/Ux. The company's main focus is on providing creative solutions that are tailored to the needs of their clients. They have worked with various clients, including Vialis, CareerLab, Biodez, and GM - Travel Marketing, to create web, animation, graphic, and branding designs. Additionally, they have experience in creating 3D animations and random animations.","['Animation Services', 'Graphic Design Services', 'UI/UX Design Services for Web Development', 'Branding Services', 'Motion Graphics Services', 'Art Direction Services']",Services,Graphic Design,Graphic Design Services,Graphic Design Services,0.4419,confident,0.4418847536845167,0.2258519609664385,,
Escape Room in Sleen is a company that offers escape room services. They are currently in the process of launching and will soon be available for bookings.,"['Corporate Event Planning', 'Immersive Experiences', 'Immersive Escape Room Experiences', 'Sneak Out Sleeps Event Planning Services', 'Recreational Activities Planning']",Services,Sporting & Recreational Camps,Recreational and Vacation Camps (except Campgrounds),Event Planning Services,0.4087,confident,0.4087159597490385,0.2189938735195451,,
"Sure Tradelink is a leading company engaged in the distribution, exporting, importing, trading, and supplying of paper and board products. They offer a wide range of paper products including packaging paper, printing and writing paper, specialty grades paper, paper bags, and bagasse disposables. Their products are known for their flexibility in customization in terms of color combination, finish, and size. The company aims to provide high-quality paper trade services with a focus on customer satisfaction and quality assurance. They strive to create a greener future by continuously improving their work processes.","['Fluting Medium', 'Corrugated Grades', 'Newsprint Paper', 'Custom Paper Bags', 'Customized Solutions for Paperboard Packaging', 'Paper Importer and Exporter', 'Bleached Kraft Paper', 'Books & Paper', 'Liquid Packaging Board', 'Paperboard One-stop Solution', 'Light Weight Coated Paper', 'Paper & Tissue', 'Recycled Boards', 'Cast Coated Hi-gloss', 'White Top Liner', 'Folding Box Board', 'PE Coated Board', 'Printed Greaseproof Paper', 'Printing & Paper', 'Specialty Grade Papers', 'Waste Grades Supplier', 'Bagasse Disposable', 'Conversion Services', 'Decor Paper', 'Paper Indentings']",Wholesale,Paper & Cardboard Products,Printing and Writing Paper Merchant Wholesalers,Paper Production Services,0.4049,confident,0.4049224353312924,0.3446550503488952,,
"Kennedy Insulation Systems is an insulation contractor located at 714 Ansborough Ave in Waterloo, IA. Established in 1981, they specialize in insulation contracting, dry wall contracting, and drywall contracting. They are listed in the categories of Insulation Contractors, Dry Wall Contractors and Drywall Contractors. Customers are encouraged to leave reviews to help improve the business.","['Construction Services', 'Insulation Contracting Services', 'Home Improvement Services', 'Dry Wall Contracting', 'Drywall Installation Services']",Services,Drywall & Insulation Contractors,Drywall and Insulation Contractors,Drywall Services,0.4006,confident,0.4005884715378758,0.0817207906669997,,
Trailer Park Buyers is a company that specializes in purchasing mobile home parks across the United States. They offer a quick and hassle-free solution for those who are tired of managing their mobile home park and are looking to sell their property quickly. The company is made up of investors who are interested in acquiring mobile home Parks and are willing to make an offer on any situation or condition the park is in. Their main focus is on the betterment of the park and their dealings with those who wish to sell.,['Real Estate Investments'],Services,Real Estate Investment,Lessors of Other Real Estate Property,Real Estate Services,0.3970,confident,0.3969842457884995,0.2801200472522399,,
Ideas Marbella - Interiorismo y Decoración is a company that specializes in interior design and decoration services. They offer a range of products and services related to interior decorating and design.,"['Decoration Solutions', 'Interior Decoration Services', 'Wedding Planning Services', 'Event Planning Services']",Services,Decorators & Interior Designers,Interior Design Services,Event Planning Services,0.3874,confident,0.3874194207606404,0.0858924453909568,,
"MaxD Plus is a travel agency based in Bangkok, Thailand that specializes in providing high-quality travel services to its customers. The company offers a range of services including flight tickets, hotel bookings, car rentals, and travel insurance. MaxD Plus has a team of experienced professionals who are dedicated to providing excellent customer service and ensuring customer satisfaction. The agency has received positive feedback from customers who have praised their professionalism and expertise in the field.","['Airline Ticketing Services', 'Travel Agency Services', 'Air Transportation Services', 'Transportation Services']",Services,Travel Agencies,Travel Agencies,Travel Services,0.3506,confident,0.3506490054386837,0.2827135081755785,,
"Shree Bhageshwari Papers Private Limited, also known as Sbppl, is a paper manufacturing company based in Muzaffarnagar, Uttar Pradesh, India. They specialize in producing a wide range of paper products, including M.G. Posters, High B.F. Kraft Paper, Hard Tissue, Soft Tissue and Kitchen Towels, Sublimation Paper, Bleached Kraft, and 18 B.f. Kraft paper. The company is committed to eco-conscious practices and offers a comprehensive selection of premium paper solutions tailored to meet customer requirements. They source their raw materials from around the world and utilize advanced processes to ensure quality and sustainability. SBPPT's products are certified with ISO 9001, ISO 14001, Ohsas, ISO 45001, ISO 22000, and FDA. With a focus on innovation and sustainability, the company aims to become a leader in the paper manufacturing industry.","['Hard Tissue', 'Paper Mill Company', 'Towels Manufacturer', 'M.G. Posters', 'Effluent Treatment Plants', 'Soft Tissues Manufacturer', 'Electrostatic Precipitators', 'Plantation Drives', 'High BF Kraft Paper', 'Precision-engineered Sublimation Paper', 'Paper Industry']",Manufacturing,Paper & Cardboard Products,Paper Mills,Paper Production Services,0.3086,confident,0.3086428528011516,0.2759030437735303,,
The Camino de Santiago Community is a company that operates an official website dedicated to the Camino del Sur region. The website serves as a platform for the community to connect with each other and the wider Camino community.,"['Community Platform', 'Resource Aggregator', 'Community Engagement Platform', 'Information Sharing', 'Resource Provider']",Government,"Executive, Legislative & Government Institutions",Public Finance Activities,Community Engagement Services,0.2950,confident,0.2950043226075376,0.2474763292241155,,
"Litebay is a company that specializes in providing comprehensive services for the lighting industry, with a focus on sourcing, factory audit, inspection, production follow-up, project management, and flexible services. The company is composed of a team of senior merchandisers, inspectors, and engineers with over 10 years of experience in the lighting field. Their mission is to help overseas customers deal with their Chinese factories and import qualified products in the field of lighting without self-travelling, saving them time, cost, and the risk of complaint. Litebay helps clients source lighting products and qualified factories, covering decorative lighting, architecture lighting, indoor lighting, outdoor lighting, general lighting, and professional lighting. They also offer a piece-by-piece inspection service suitable for high-quality or high-value lighting products.","['Shipping Arrangement Services', 'Project Management Services', 'Laboratory Services', 'Lighting Sourcing and Inspection Services', 'Production Follow-up Services', 'Container Loading Supervision']",Manufacturing,Lighting Stores,Residential Electric Lighting Fixture Manufacturing,Project Management Services; Laboratory Services,0.2650; 0.2371,confident,0.2650268251978923,0.0279485588096073,,
