description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Vermont Directional Boring is an underground construction company that specializes in horizontal directional drilling, auger boring, and tunneling methods to install utility pipes for various industries such as electric, telecommunications, oil and gas, sewer, water, and irrigation. They offer services such as underground auger drilling, pilot tube guided boring, microtunneling, tunneling, pipe ramming, pipe jacking, concrete box jacking (jack & bore), rock drilling, and sliplining. Their mission is to provide safe, timely, and high-quality underground utility installation to their customers at a competitive price. They have decades of experience and attention to project detail, making them a reliable choice for directional drilling and boring projects. Directional drilling is environmentally friendly and reduces rehabilitation time, and Vermont Directional Drilling is a member of Naics.","['Underground Construction Services', 'Pipe Ramming Services', 'Rock Drilling', 'Directional Drilling Services', 'Pipe Jacking Services', 'Sliplining Services', 'Concrete Box Jacking Equipment', 'Tunneling Services']",Services,Construction Services,Water and Sewer Line and Related Structures Construction,Directional Drilling Services,0.5307,confident,0.5306799113665019,0.3704158963484665,,
"BetonBestellen.nl is a company based in Tholen, Netherlands, specializing in the supply of concrete products and ready-mix concrete. The company operates as a concrete contractor and product supplier.","['Online Concrete Ordering', 'Fast Delivery Service', 'Concrete Products', 'Conveyancing Services', 'Same-day Concrete Delivery', 'Ready-mix Concrete Production', 'Convenient and Efficient Concrete Pouring Solutions', 'Concrete Contractors', 'Concrete Pump Rental Services']",Services,Concrete Work,Poured Concrete Foundation and Structure Contractors,Tilt-Up Concrete Services; Precast Concrete Installation,0.2931; 0.2618,confident,0.2930909490422237,0.0313094898866289,,
"Q2 Engineering Sdn. Bhd. is a company based in Petaling Jaya, Selangor, Malaysia. It operates in various sectors including waste management, biotechnology, environmental consulting, and renewable natural resources. The company also provides services related to power stations, sewage treatment plants, and solid waste engineering.","['Biogas/landfill Gas', 'Operation And Maintenance', 'Construction Services', 'Installation Services', 'Gas Extraction Optimization', 'Renewable Energy Projects', 'Hazardous Waste Disposal', 'Gas Production Forecasting', 'Engineering Services', 'Power Station', 'Support and Engineering Assistance', 'Methane Testing', 'Project Management Services', 'Consultancy & Feasibility Studies', 'Biotechnology', 'Procurement Services', 'Sewage Treatment Plant', 'Feasibility Calculations', 'General Contractor', 'Waste Management Facility', 'Renewable Resources', 'Pumping Tests', 'Commissioning Services', 'Solid Waste Engineering', 'Environmental Consulting Services', 'Carbon Reduction Investments', 'Maintenance Services']",Services,Garbage Collection & Waste Disposal,Solid Waste Combustors and Incinerators,Waste Management Services,0.2897,confident,0.2897202783017142,0.1432738768857743,,
"The company offers convenient and reliable cleaning services for businesses, including stores, condominiums, and shopping centers. They provide high-quality cleaning services that meet the standards desired by their clients.","['Cleaning Services for Condominiums', 'Shopping Center Cleaning', 'Standard Cleans']",Services,Office & Industrial Cleaning,Janitorial Services,Building Cleaning Services,0.2845,confident,0.2845365036974426,0.0852593519153957,,
CS-Cart is a software company that provides secure and full-featured online shopping cart software with a complete set of powerful ecommerce options. Their software allows users to create their own online store with minimum effort.,"['Copper Pcb', 'XRF Equipment', 'Paints and Powders', 'CMI 500 Series', 'Software Development and Implementation of Software', 'Software Solutions Provider']",Manufacturing,Laboratory Equipment & Supplies,Analytical Laboratory Instrument Manufacturing,Software Development Services; Software Manufacturing,0.2743; 0.2473,confident,0.2743033914669407,0.0269954088904759,,
Dr. Ruby is a company that specializes in soil science and the relationship between plants and soil. The company's main focus is on the negative impact that plants can have on individuals and businesses.,"['Content Creation', 'Plant-related Content Creation', 'Plant and Soil Technology Education', 'Blogging Platform', 'Plant-related Products and Services']",Manufacturing,Plant Nurseries & Stores,Nursery and Tree Production,Ornamental Plant Nurseries; Content Creation Services,0.2600; 0.2258,confident,0.2599930637812066,0.0342412968004036,,
"Pavimento Impreso Impredo Catalunya is a construction company with over 15 years of experience in the industry. They specialize in the production of stamped concrete, polished concrete, walls, retaining walls, and facade decoration. The company has a team of professionals who are trained and specialized in meeting the demands of their clients for stamped concrete and concrete. They offer maintenance and improvement services for concrete and stamped concrete. Additionally, they are experts in the construction of walls and facades.","['Construction Services', 'Facade Decoration Services', 'Containment Walls', 'Maintenance and Improvement Work', 'Vertical Cladding', 'Reinforced Concrete']",Services,Concrete Work,Poured Concrete Foundation and Structure Contractors,Tilt-Up Concrete Services,0.2376,confident,0.237589942124442,0.0626161729510533,,
"Prefer Pets Travel Gear is a company that specializes in designing and manufacturing small pet carriers for pet owners who travel with their pets. The company was founded in 2006 by a husband and wife team who were inspired to create a better carrier for traveling with their two pets after their son's accidental escape from a pet box store. The carriers are designed with features and functions that they wished they had on their own travels with Button and ShoSho, and are constantly evolving based on feedback from real customers and their own experiences. Prefer Pets offers convenient, safe, and secure carriers for transportation by foot, car, plane, and train. The products are created with mindful designs, quality material and construction, and real old-fashioned customer service. The carrier collection includes the 368 Adventure Backpack, Hideaway Backpack™,358 Hideaway™ Backpack XXL, Original Pet Backpack XL, and Hideaway Duffel, among others.","['Padded Shoulder Straps', 'Jet Carrier', 'Dog Totes and Accessories', 'Hideaway XL Twin Duffel', '360° Tangle-free Retractable Dog Leash', 'Travel Gear', 'Pet Carriers', 'Base Pads', 'XL Pet Carrier Backpack']",Manufacturing,Pet Shops,Other Animal Food Manufacturing,Pet Food Manufacturing,0.2352,confident,0.2351639607744442,0.08827724955989,,
"TD Smirnov is a Russian company that specializes in providing color solutions for the packaging industry. They offer a comprehensive supply of dyes, superconcentrates, masterbatches, and additives for polymers, alcoholic and water-based flexo inks, including flexographic ink, masterbatch, UV-ink, cardboard printing inks and inks. They also provide polymer modifiers, deep printing paints, and alcoholic and waterproof flexoprintings. The company has its own production of flexographic paints from FORZA components and offers a complete supply of superconcencerates, flexographic paint, and customized raw materials. They are a universal supplier of leading Russian producers of super-concentrate and modifiers and have an automatic mixing station ink maker for 14 pumps.","['Alcohol-soluble Flexo Ink', 'Customized Raw Materials for Flexographic Paints', 'Dyes and Modifiers for Polymers', 'Deep Printing Paints', 'Cardboard Inks Manufacturer', 'UV Inks']",Manufacturing,Chemicals,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",Ink Production Services,0.2205,confident,0.2204675930235858,0.1314838241136914,,
"Homes and Loans with Michelle is a real estate and loan company that offers a range of services to make the process of buying or selling a home easy and hassle-free. They provide assistance with finding a home loan, finding a new home, and down payment assistance through one of the Texas First Time Home Buyer programs. The company offers a one-stop-shop for residential and rental properties of all sizes, from condos to mansions, and can help with affordability, credit, legal matters, and income. They also provide a current list of available properties for clients to browse.","['New Home Assistance', 'Property Search Assistance', 'Follow-up Support', 'Real Estate Loan Services', 'Real Estate Brokerage Services', 'Home Loan Assistance', 'Down Payment Assistance', 'Residential Rental', 'Closing on Dream Homes', 'Texas First-time Home Buyer Programs', 'Savings and Credit Simulation']",Services,Mortgage Brokers,Real Estate Credit,Real Estate Services,0.2118,confident,0.211794494397609,0.1262293577144311,,
