description,business_tags,sector,category,niche,insurance_label,insurance_label_scores,pred_status,top1_score,gap_top1_top2,human_ok,notes
"Vermont Directional Boring is an underground construction company that specializes in horizontal directional drilling, auger boring, and tunneling methods to install utility pipes for various industries such as electric, telecommunications, oil and gas, sewer, water, and irrigation. They offer services such as underground auger drilling, pilot tube guided boring, microtunneling, tunneling, pipe ramming, pipe jacking, concrete box jacking (jack & bore), rock drilling, and sliplining. Their mission is to provide safe, timely, and high-quality underground utility installation to their customers at a competitive price. They have decades of experience and attention to project detail, making them a reliable choice for directional drilling and boring projects. Directional drilling is environmentally friendly and reduces rehabilitation time, and Vermont Directional Drilling is a member of Naics.","['Underground Construction Services', 'Pipe Ramming Services', 'Rock Drilling', 'Directional Drilling Services', 'Pipe Jacking Services', 'Sliplining Services', 'Concrete Box Jacking Equipment', 'Tunneling Services']",Services,Construction Services,Water and Sewer Line and Related Structures Construction,Directional Drilling Services,0.5524,confident,0.5523749453028988,0.3512444843879026,,
"Inspection Pros is a company based in the greater Los Angeles area that offers a range of inspection services, including residential home inspections, commercial building inspections, sewer line inspections, chimney inspections, mold inspections, termite inspections, and pool inspections.","['Termite Inspections Services', 'Sewer Scope Inspection Services Provision', 'Chimney Inspections Retailer', 'Building Inspections Services', 'Real Estate Transaction Assistance', 'Home Inspection', 'Comprehensive Home Inspections', 'Multi-family Inspection Services Provider', 'Sewer Inspections Products', 'Pool Inspections Retailer', 'Mold Inspections Supplier', 'Professional Home Inspection Services', 'Chimney Inspection Services', 'Pool and Spa Inspections Services', 'Internachi Certified Professional Inspector', 'Home Qualification']",Services,Real Estate Valuations & Home Inspection,Building Inspection Services,HVAC Inspections,0.4006,confident,0.4006391269020782,0.1467299838485176,,
"Gralhien Jean Luc is a company based in Varennes-Vauzelles, France, operating in the fields of paint retail and interior design.","['Interior Design Services', 'In-store Shopping', 'Paint and Wallpaper Retailer']",Wholesale,"Paints, Coatings, Dyes & Pigments","Paint, Varnish, and Supplies Merchant Wholesalers",Interior Design Services,0.3235,confident,0.323452053065689,0.2452418538912035,,
"Midaspire Consults Limited is a consultancy firm that provides advisory and technical consulting services to non-governmental and civil society organizations, private and public sector organizations, institutional capacity building, and corporate governance. They specialize in planning, designing, implementing, and managing technical and training programs, including facilitation of on-site training, customized and open workshops, and conducting field research. Midaspire offers practical solutions to various advanced leadership and training programmes, human resource management, finance, budgeting and accounting, secretarial and administration, auditing, forensics and fraud examination, customer care and marketing, ICT, procurement, project/program management, and monitoring & evaluation challenges using modern tools. Their vision is to be an internationally recognized company in the learning and development space through provision of technical support, training, consulting, tendering, and policy analysis.","['Customized Workshops', 'Forensic and Fraud Management Training', 'Training and Development Programs', 'Administration and Secretarial Training', 'Training and Auditing Services', 'Field Research', 'On-site Training', 'Project and Program Management Training Programs', 'Sales, Marketing, Customer Care Training', 'Human Resources Training', 'Comprehensive Leadership Training Programs', 'Accounting and Budgeting Training', 'Procurement Training']",Services,Business Consulting,Administrative Management and General Management Consulting Services,Training Services,0.2902,confident,0.2902374861095267,0.1037902244444596,,
"Correio do Brasil is a Brazilian company that operates a postal code of Ibiapaba. The company has been involved in various events and initiatives, including a litigation working group that identified the exact boundary of the foothills of Serra da Ibiapiaba and proved that the area has always belonged to Ceará. The Ibiababa Mail is a site with classical materials that publishes articles from the newspaper editions and publications of VXZ Correio Ibiabeaba.","['Cultural Promotion Services', 'Book, Newspaper, and Other Publications Editions', 'Carnival Program', 'Publishing Services', 'Cultural Heritage Preservation', 'News and Information Provider', 'Publishing Platform', 'Cultural Events Organization', 'Classical Materials', 'Media and Publishing']",Services,Shipping Couriers,Postal Service,Publishing Services,0.2720,confident,0.2720146586104086,0.1987745932047588,,
"Guangzhou Port Group Co., Ltd. is a Chinese company that operates in various industries, including container operations, rolling stock automotive, oil refining, steel, food operations, coal operations, mining, railways, waterless ports, and elevator business. The company aims to become a world-class integrated port operator and has been recognized for its scientific and technological achievements, including the China Port Science and Technology Award. It has also been involved in the development of the Guangzhou Port District, which has been featured in media coverage.","['Quarry Operations', 'Food Operation', 'Coal Mining Operations', 'Port Operations and Maintenance', 'Steel Operations', 'Rail Operations', 'Machinery Manufacturing', 'Marine Transportation Services', 'Water-free Port Operations', 'Petrochemical Engineering', 'Container Operations']",Services,Railroad Service Companies,Port and Harbor Operations,Street Cleaning Operations; Brewery Operations,0.2656; 0.2526,confident,0.2655874288253955,0.0129949752654675,,
"Foralabs is a Chinese company that specializes in the production of software-based automation solutions for tire and wheel automation. They offer services such as tire and alloy wheel automation, AGM equipment, AGS automation, and AGM parts. Additionally, they provide contract electronic equipment development services, including testing, repair, refurbishment, and replacement of electronic components. Foralaps is a subsidiary of the company.","['Fuel Dispense and Dispensing Process Automation', 'Software and Services Provider', 'Automation Solutions Provider', 'Automating Processes', 'Complete Package Updating Processes with Equipment', 'Software Development of Automation Software', 'Turnkey Solutions Provider', 'XML and JSON Interface', 'Turn-key Solution for Fuel Dispensers', 'API/XML Integration', 'API Integration Services', 'System Administration Services', 'Software Development']",Manufacturing,Laboratory Equipment & Supplies,Other Measuring and Controlling Device Manufacturing,Software Development Services,0.2535,confident,0.2535228277930209,0.1405596689706437,,
"Cooperativa Mir de Colombia, also known as Cooperativa MIR, is a Colombian cooperative that aims to promote financial happiness through its products and services in the areas of contribution, credit, and real estate management. The company seeks to enhance the quality of life of its members by offering a range of services aimed at improving their financial well-being. The cooperative is composed of a multidisciplinary group with extensive experience in the field of law, providing its members with discounts on legal services and a free initial consultation. Additionally, the company offers opportunities for investment in real estate, regardless of income, with comfortable and adjustable contributions to its general housing fund.","['Legal Services', 'Real Estate Management Services', 'Credit Services', 'Long-term Financing Without Credit Study', 'Microcredit for Interviews', 'Structuring Plans for Construction', 'Real Estate Investment Opportunities']",Services,Credit Unions & Savings Institutions,Credit Unions,Real Estate Services,0.2426,confident,0.2426041516278277,0.0821274791834353,,
"MS Diesel is a company located on the South Shore of Montreal that specializes in the repair and maintenance of heavy vehicles, agricultural machinery, snow removal equipment, trucks, and trailers. Their main focus is on repairing and maintaining heavy machinery.","['Heavy Vehicle Repair Services', 'Agricultural Machinery Repair Services', 'Snow Equipment Repair', 'Trucks And Trailers']",,,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,Commercial Snow Removal; Agricultural Machinery Installation; Residential Snow Removal,0.2337; 0.2178; 0.2134,confident,0.2336973846479053,0.0159355698469826,,
"Professional Architectural & Engineering Consultancy Limited, also known as Paecl, is a construction management company based in Macau SAR. Established in 2009, the company is led by a team of experienced professionals including registered architects, civil engineers, electrical engineers, and mechanical engineers. PAEC provides a range of services including project management, architectural design, structural design, and M&E design. They also offer administrative licensing services for various industries such as restaurants, hotels, pharmacies, schools, and retail stores.","['Construction Services', 'Administrative Licenses', 'Project Management Services for Macau SAR', 'M&E Design Services', 'Architecture and Design Consultancy']",Services,Other Engineering Services,Engineering Services,Project Management Services,0.2322,confident,0.2321794039763929,0.1174428573123926,,
